Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,195.5875,-109.8,90.0,bottom
C2,100n,C_0805_2012Metric,176.3,-81.85,180.0,bottom
C3,100n,C_0805_2012Metric,180.6,-74.5,180.0,bottom
C4,100n,C_0805_2012Metric,184.85,-66.95,180.0,bottom
C5,100n,C_0805_2012Metric,156.05,-81.8,180.0,bottom
C6,100n,C_0805_2012Metric,160.45,-74.35,180.0,bottom
C7,100n,C_0805_2012Metric,164.65,-66.95,180.0,bottom
C8,100n,C_0805_2012Metric,168.95,-59.4,180.0,bottom
C9,100n,C_0805_2012Metric,173.25,-52.1,180.0,bottom
C10,100n,C_0805_2012Metric,177.5,-44.55,180.0,bottom
C11,100n,C_0805_2012Metric,148.8,-59.5,180.0,bottom
C12,100n,C_0805_2012Metric,153.1,-52.2,180.0,bottom
C13,100n,C_0805_2012Metric,157.45,-44.65,180.0,bottom
C17,22u,C_0805_2012Metric,205.75,-110.7,0.0,bottom
C18,10u,C_0805_2012Metric,203.225714,-91.3,0.0,bottom
C19,10u,C_0805_2012Metric,201.325714,-81.6,180.0,bottom
C20,1u,C_0805_2012Metric,202.1,-118.8,180.0,bottom
C21,22u,C_0805_2012Metric,200.1,-115.85,90.0,bottom
CN1,PH2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,202.0,-102.6,90.0,bottom
CN2,PH4,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,141.25,-131.0,90.0,bottom
L1,L,CKCS4018,201.6,-110.45,-90.0,bottom
LED1,RED,LED_0805_2012Metric,207.0375,-78.1,0.0,bottom
LED2,GRN,LED_0805_2012Metric,207.05,-75.7,0.0,bottom
R1,10k,R_0805_2012Metric,182.25,-120.5,-90.0,bottom
R2,10k,R_0805_2012Metric,185.5875,-121.25,0.0,bottom
R3,10k,R_0805_2012Metric,189.175,-121.25,0.0,bottom
R4,1k,R_0805_2012Metric,204.125714,-80.9125,90.0,bottom
R5,100R,R_0805_2012Metric,197.6875,-109.85,-90.0,bottom
R6,300R,R_0805_2012Metric,167.5,-121.25,180.0,bottom
R7,1R,R_0805_2012Metric,206.175714,-94.35,90.0,bottom
R8,1k,R_0805_2012Metric,206.125714,-80.9125,90.0,bottom
R9,1k,R_0805_2012Metric,200.525714,-88.4,-90.0,bottom
R10,1k,R_0805_2012Metric,200.525714,-84.65,-90.0,bottom
R11,1M,R_0805_2012Metric,171.4125,-121.25,180.0,bottom
R12,1M,R_0805_2012Metric,175.4125,-121.25,0.0,bottom
R13,1M,R_0805_2012Metric,178.825,-121.25,180.0,bottom
R14,1M,R_0805_2012Metric,205.7,-112.95,0.0,bottom
R15,1M,R_0805_2012Metric,199.25,-119.5,-90.0,bottom
R16,390k,R_0805_2012Metric,196.25,-119.5,90.0,bottom
R17,1R,R_0805_2012Metric,203.875714,-94.35,90.0,bottom
R18,300R,R_0805_2012Metric,144.85,-44.65,180.0,bottom
SW1,SW_Push,SW_Push_1P1T-MP_NO_Horizontal_ShouHan_TS24CA,208.0,-153.5,90.0,bottom
U2,XB5350A,SOT-23-5,196.6375,-113.45,180.0,bottom
U4,TP4056,SOP-8_3.9x4.9mm_P1.27mm,204.425714,-86.4,180.0,bottom
U5,SY7088,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,202.55,-115.4,0.0,bottom
